"","host","musicalguest","date","season"
"1","Margot Robbie","The Weeknd",2016-10-01,"Season 42"
"2","Lin-Manuel Miranda","Twenty One Pilots",2016-10-08,"Season 42"
"3","Emily Blunt","Bruno Mars",2016-10-15,"Season 42"
"4","Tom Hanks","Lady Gaga",2016-10-22,"Season 42"
"5","Benedict Cumberbatch","Solange",2016-11-05,"Season 42"
"6","Dave Chappelle","A Tribe Called Quest",2016-11-12,"Season 42"
"7","Kristen Wiig","The xx",2016-11-19,"Season 42"
"8","Emma Stone","Shawn Mendes",2016-12-03,"Season 42"
"9","John Cena","Maren Morris",2016-12-10,"Season 42"
"10","Casey Affleck","Chance the Rapper",2016-12-17,"Season 42"
"11","Felicity Jones","Sturgill Simpson",2017-01-14,"Season 42"
"12","Aziz Ansari","Big Sean",2017-01-21,"Season 42"
"13","Kristen Stewart","Alessia Cara",2017-02-04,"Season 42"
"14","Alec Baldwin","Ed Sheeran",2017-02-11,"Season 42"
"15","Miley Cyrus","Miley Cyrus",2015-10-03,"Season 41"
"16","Amy Schumer","The Weeknd",2015-10-10,"Season 41"
"17","Tracy Morgan","Demi Lovato",2015-10-17,"Season 41"
"18","Donald Trump","Sia",2015-11-07,"Season 41"
"19","Elizabeth Banks","Disclosure",2015-11-14,"Season 41"
"20","Matthew McConaughey","Adele",2015-11-21,"Season 41"
"21","Ryan Gosling","Leon Bridges",2015-12-05,"Season 41"
"22","Chris Hemsworth","Chance the Rapper",2015-12-12,"Season 41"
"23","Tina Fey & Amy Poehler","Bruce Springsteen & the E Street Band",2015-12-19,"Season 41"
"24","Adam Driver","Chris Stapleton",2016-01-16,"Season 41"
"25","Ronda Rousey","Selena Gomez",2016-01-23,"Season 41"
"26","Larry David","The 1975",2016-02-06,"Season 41"
"27","Melissa McCarthy","Kanye West",2016-02-13,"Season 41"
"28","Jonah Hill","Future",2016-03-05,"Season 41"
"29","Ariana Grande","Ariana Grande",2016-03-12,"Season 41"
"30","Peter Dinklage","Gwen Stefani",2016-04-02,"Season 41"
"31","Russell Crowe","Margo Price",2016-04-09,"Season 41"
"32","Julia Louis-Dreyfus","Nick Jonas",2016-04-16,"Season 41"
"33","Brie Larson","Alicia Keys",2016-05-07,"Season 41"
"34","Drake","Drake",2016-05-14,"Season 41"
"35","Fred Armisen","Courtney Barnett",2016-05-21,"Season 41"
